#Table1
ra,dec,z
242.43318,-0.11512294,0.005018893
226.64274,1.5590967,0.005032492
188.11647,0.39066679,0.00505075
180.10953,-1.1021667,0.005064235
221.23385,1.9448743,0.00507162
225.1142,1.6233859,0.005084313
188.19419,1.5689717,0.005087507
190.41317,1.8379655,0.005091568
222.74941,2.337889,0.005093563
226.36569,2.105117,0.005094
212.90746,-1.1561632,0.005095313
190.61562,0.048208922,0.005102077
227.05148,1.4999438,0.00512548
217.15767,0.55314394,0.005144823
225.11147,1.6237305,0.005148056
188.19211,1.5688404,0.005155945
217.39419,-0.01827286,0.005175699
221.10187,1.679772,0.005189899
188.11549,0.3855222,0.005192863
212.90774,-1.159075,0.005200488
173.92928,1.8902999,0.005208587
224.67038,2.3398477,0.005209877
226.36874,2.1072097,0.005210919
227.7435,1.4377753,0.005231335
225.95965,1.1269509,0.005234256
212.9066,-1.1620429,0.005243586
225.98428,0.42961035,0.005270182
191.38147,-0.54001546,0.005284675
228.9285,1.4557678,0.005285603
226.89243,1.1202942,0.005287491
225.9819,0.43213741,0.005289246
174.75473,1.3365816,0.005294307
190.01199,-1.0507696,0.005298289
162.53709,1.2649414,0.00531105
189.76032,0.84973103,0.005315727
161.23336,0.74261784,0.005347809
220.69149,2.1238416,0.005348514
185.1153,1.46971,0.005367113
220.24403,2.1839949,0.005379031
218.12119,0.29289008,0.005380706
184.69641,1.3817146,0.005390226
191.38328,-0.53571473,0.005418549
220.24299,2.1865514,0.005431462
226.02915,1.2199369,0.005438403
186.74351,2.4898233,0.005443561
227.26786,0.8219738,0.005489794
220.69273,-0.34881795,0.005494876
191.38288,-0.53311791,0.005510338
215.599,-0.38770336,0.005515854
227.75557,1.6805595,0.005516197
226.51368,2.1850501,0.005532828
221.54637,-0.22296552,0.005535014
226.67071,0.076736997,0.00554662
221.31598,-0.1594907,0.005550537
220.2393,2.1879734,0.005553055
227.28264,0.72492755,0.005554996
188.33652,1.5217053,0.005556944
191.44958,-0.43224442,0.005559985
190.82681,-1.4673576,0.005587289
228.10019,2.0800627,0.005610828
186.74348,2.4944032,0.005644963
190.29833,1.4103171,0.005647156
226.61737,1.6058515,0.005654494
226.62153,1.6058165,0.005658905
226.68061,1.6610448,0.005659461
226.10289,2.1145743,0.005678081
220.69137,-0.3510785,0.005678178
190.03691,-0.35034536,0.005696644
223.78884,1.1007004,0.005698411
219.92758,0.056193634,0.005732589
226.46069,1.908549,0.005738425
220.98487,1.6041895,0.005746124
227.3123,1.9216166,0.005751215
225.26296,0.70762255,0.005751381
220.23482,-0.31817036,0.005755075
227.56892,1.934314,0.005775208
225.25357,1.0138352,0.005791203
227.09451,1.7985872,0.005807774
150.81437,2.0953093,0.005819059
132.07774,1.2643683,0.00585956
146.51065,1.6721077,0.005867064
223.73262,1.5254634,0.005868103
188.59176,2.3253111,0.005870979
219.95832,-0.71816513,0.005892978
219.95704,-0.71846387,0.00590554
219.42114,2.2908187,0.005921139
146.72511,0.50828311,0.005922012
187.46072,2.031559,0.005923959
146.72333,0.50733857,0.005939425
220.09704,-0.56232834,0.00595112
220.6987,-0.49837507,0.005957456
219.95846,-0.70636323,0.005982158
218.72583,-0.3426522,0.006004397
224.70301,2.0235053,0.006019499
220.46193,-1.3924613,0.006022938
163.20268,0.034482196,0.006033491
226.54678,2.0957326,0.006033819
146.61904,-0.43432227,0.006036635
220.6956,0.66173094,0.006039796
226.5464,2.0950708,0.00604588
219.91945,-0.30254253,0.006050064
185.875,2.0080311,0.006051128
225.06907,2.300715,0.006065526
226.12564,-0.85131793,0.006069995
178.5503,-0.48241349,0.006075168
226.54719,2.0962315,0.006084908
185.49085,2.3450778,0.006105036
227.02337,1.6515934,0.006110244
177.64181,-0.53772907,0.00611839
147.46057,0.61188203,0.006121848
226.03519,1.524607,0.006126935
227.02439,1.6515313,0.006149007
145.51963,0.33642042,0.006149685
162.25636,-0.64041284,0.006149792
228.13224,0.81258204,0.006153071
189.52154,1.477751,0.006157753
146.77295,0.96442822,0.006186391
223.92863,-1.0091077,0.00618707
227.39001,-1.0215274,0.006197183
185.48987,2.3456564,0.006199922
190.11287,1.1969253,0.006215455
150.02437,1.9110605,0.006226315
220.06366,0.20670606,0.006228141
224.58815,1.8454333,0.00623285
224.00658,-1.3881885,0.006237036
224.47133,0.93422315,0.006237303
228.17247,1.6232568,0.006247486
131.34374,2.1901066,0.006251462
147.17639,-0.35405684,0.006282841
225.21914,1.4049178,0.006284619
220.45285,0.68698536,0.00628506
178.90387,1.2372037,0.006288003
185.84759,1.8151864,0.006295419
225.00545,-1.091117,0.006297647
175.81716,-1.3946988,0.006309783
147.47559,0.61629296,0.006316895
185.27933,0.4613369,0.006317841
147.63041,0.40751089,0.006327039
146.26584,1.2304246,0.006355164
228.8942,2.2482843,0.006358
220.62338,1.5004181,0.006362626
147.46914,0.61810944,0.006366497
224.00508,-1.3810699,0.006375832
145.51241,0.33917087,0.006378901
235.4981,0.71280211,0.006394573
146.42076,1.6177618,0.00639676
224.14271,1.1792081,0.006397102
226.90508,2.0196438,0.006413383
219.46892,-0.39862871,0.006427905
146.99801,2.2226753,0.006431607
225.2906,1.7078335,0.006453735
228.03395,1.5857131,0.006475249
224.53263,-1.3125316,0.006492704
225.27901,2.0903301,0.006494026
149.62607,0.045272015,0.006497472
148.68741,1.609423,0.006534921
180.67602,1.9767987,0.006541668
220.04695,-0.2967629,0.006543304
220.04478,-0.29398463,0.006549815
235.57838,0.47733723,0.006550007
152.02894,2.3450846,0.006553404
226.17876,1.2908766,0.006561015
145.32091,0.77109766,0.00658949
186.59411,-1.2550122,0.006608162
243.6373,0.82163553,0.006617586
227.19655,1.9001905,0.006638203
186.59463,-1.2534244,0.006648483
225.65021,2.0276693,0.006657072
184.97168,1.7735022,0.00668078
180.6748,1.9693349,0.006714756
186.54928,-1.3046805,0.006750463
186.05372,0.566379,0.006759792
150.47406,2.41385,0.006784019
185.04771,1.9585667,0.006790638
233.90053,0.37531489,0.006821776
152.04306,2.4634132,0.006855804
157.17918,2.0634692,0.006897699
226.94924,1.2920493,0.006901911
226.40726,1.303158,0.006922169
229.73769,0.51569182,0.006947624
225.95914,0.97811147,0.006975475
243.37067,-0.88351363,0.006999131
227.03842,1.608604,0.007058913
182.83293,1.4924564,0.007063561
185.14071,0.78821212,0.00707815
186.72758,-0.87755874,0.007084649
187.30852,-1.3560158,0.007092588
225.31389,1.4981922,0.007136032
225.41089,1.8701872,0.007179188
227.69682,-0.34833315,0.007202491
182.83133,1.4982242,0.007302126
186.76864,-0.90569574,0.007346148
187.38655,0.83964062,0.007515972
226.67516,0.63439084,0.007539621
188.62759,1.0115073,0.007539892
187.44266,-1.2950821,0.007539904
193.71301,-1.3642841,0.007574753
225.40996,1.7221821,0.007636942
226.52807,1.3224747,0.007668398
226.36977,1.2925571,0.007684317
183.06137,0.072311613,0.007831382
225.24731,1.6491904,0.007867387
160.73099,-0.14028242,0.007884246
226.26866,1.9641746,0.00796431
187.4952,0.027217958,0.008045804
185.79147,0.42706165,0.008075255
214.83397,1.1652606,0.0081429
186.57394,1.7417686,0.008195798
134.67085,2.1931181,0.008234216
188.5086,1.7654865,0.008275687
170.82587,-0.9224747,0.008394149
